"","x"
"1",23
"2",22
"3",30
"4",17
"5",26
"6",16
"7",37
"8",7
"9",26
"10",20
"11",18
"12",30
"13",22
"14",26
"15",5
"16",16
"17",13
"18",8
"19",25
"20",29
"21",27
"22",29
"23",17
"24",10
"25",23
"26",12
"27",32
"28",26
"29",10
"30",20
"31",32
"32",20
"33",10
"34",17
"35",11
"36",26
"37",12
"38",40
"39",53
"40",13
"41",16
"42",27
"43",21
"44",33
"45",13
"46",24
"47",27
"48",24
"49",24
"50",28
"51",13
"52",28
"53",15
"54",4
"55",15
"56",13
"57",12
"58",22
"59",34
"60",19
"61",19
"62",36
"63",25
"64",21
"65",22
"66",31
"67",37
"68",32
"69",45
"70",25
"71",31
"72",30
"73",21
"74",23
"75",29
"76",36
"77",20
"78",14
"79",18
"80",10
"81",21
"82",26
"83",27
"84",17
"85",15
"86",26
"87",19
"88",35
"89",40
"90",5
"91",3
"92",32
"93",24
"94",19
"95",40
"96",31
"97",23
"98",25
"99",16
"100",24
"101",22
"102",11
"103",22
"104",26
"105",26
"106",52
"107",20
"108",40
"109",24
"110",18
"111",20
"112",24
"113",15
"114",20
"115",25
"116",23
"117",32
"118",17
"119",16
"120",5
"121",32
"122",17
"123",12
"124",21
"125",22
"126",39
"127",22
"128",19
"129",16
"130",25
"131",20
"132",22
"133",21
"134",14
"135",13
"136",25
"137",40
"138",38
"139",11
"140",20
"141",13
"142",23
"143",24
"144",11
"145",35
"146",23
"147",30
"148",19
"149",27
"150",15
"151",19
"152",28
"153",21
"154",25
"155",12
"156",29
"157",25
"158",27
"159",21
"160",36
"161",41
"162",71
"163",41
"164",26
"165",20
"166",31
"167",15
"168",22
"169",44
"170",51
"171",29
"172",20
"173",10
"174",26
"175",16
"176",32
"177",20
"178",40
"179",27
"180",22
"181",15
"182",48
"183",17
"184",25
"185",24
"186",32
"187",25
"188",23
"189",18
"190",11
"191",31
"192",22
"193",33
"194",20
"195",24
"196",10
"197",18
"198",53
"199",50
"200",50
"201",28
"202",18
"203",40
"204",11
